25.0 [0.5787, 0.7203]
26.0 [0.5824, 0.7251000000000001]
27.0 [0.5862, 0.7299]
28.0 [0.5902, 0.7349]
29.0 [0.5942, 0.7399]
30.0 [0.5982, 0.745]
31.0 [0.6075999999999999, 0.7554]
32.0 [0.6115999999999999, 0.7605999999999999]
33.0 [0.616, 0.7657999999999999]
34.0 [0.6203000000000001, 0.7712]
35.0 [0.6243000000000001, 0.7763000000000001]
36.0 [0.6284000000000001, 0.7816000000000001]
37.0 [0.6324000000000001, 0.7867000000000001]
38.0 [0.6367, 0.7921]
39.0 [0.6409, 0.7975]
40.0 [0.6452, 0.8027000000000001]
41.0 [0.6494, 0.8082]
42.0 [0.6537, 0.8136]
43.0 [0.658, 0.8190000000000001]
44.0 [0.6624, 0.8245]
45.0 [0.6667, 0.8299000000000001]
46.0 [0.6711, 0.8356]
47.0 [0.6753, 0.8410000000000001]
48.0 [0.6798000000000001, 0.8467]
49.0 [0.6843, 0.8522000000000001]
50.0 [0.6888000000000001, 0.8579]
51.0 [0.6933, 0.8634000000000001]
52.0 [0.6978000000000001, 0.8690000000000001]
53.0 [0.7025, 0.8749]
54.0 [0.7070000000000001, 0.8807]
55.0 [0.7115, 0.8865]
56.0 [0.7161000000000001, 0.8925]
57.0 [0.7207, 0.8985]
58.0 [0.7306, 0.9093]
59.0 [0.7354, 0.9151]
60.0 [0.74, 0.9211]
61.0 [0.7449, 0.9274]
62.0 [0.7495999999999999, 0.9335]
63.0 [0.7544, 0.9396]
64.0 [0.7591, 0.9457]
65.0 [0.7638999999999999, 0.9518]
66.0 [0.7687999999999999, 0.9579]
67.0 [0.7735, 0.9641000000000001]
68.0 [0.7784, 0.9704]
69.0 [0.7833, 0.9792000000000001]
70.0 [0.7883, 0.9857]
71.0 [0.7933, 0.9924000000000001]
72.0 [0.7983, 0.9987]
73.0 [0.8034, 1.0051999999999999]
74.0 [0.8084, 1.0118]
75.0 [0.8135, 1.0185]
76.0 [0.8185, 1.0251000000000001]
77.0 [0.8236, 1.0316]
78.0 [0.8289, 1.0382]
79.0 [0.8341000000000001, 1.045]
80.0 [0.8392999999999999, 1.0517]
81.0 [0.8444, 1.0585]
82.0 [0.8498000000000001, 1.0653]
83.0 [0.8601000000000001, 1.0719]
84.0 [0.8653000000000001, 1.0787]
85.0 [0.8705, 1.0855]
86.0 [0.8759, 1.0925]
87.0 [0.8811000000000001, 1.0994]
88.0 [0.8869, 1.1063]
89.0 [0.8922, 1.113]
90.0 [0.8975, 1.1199]
91.0 [0.9028, 1.1269]
92.0 [0.9084, 1.1339]
93.0 [0.9138, 1.1412]
94.0 [0.9193, 1.1482999999999999]
95.0 [0.9247, 1.1556]
96.0 [0.9302, 1.1627]
97.0 [0.9357, 1.1702]
98.0 [0.9413, 1.1776]
99.0 [0.9468, 1.1848999999999998]
100.0 [0.9523, 1.1921]
101.0 [0.9578, 1.1995]
102.0 [0.9632, 1.2065]
103.0 [0.9688, 1.2136]
104.0 [0.9746, 1.2208999999999999]
105.0 [0.9802, 1.2279]
106.0 [0.9909, 1.2359]
107.0 [0.9966999999999999, 1.2433]
108.0 [1.0023, 1.2505]
109.0 [1.008, 1.2629]
110.0 [1.0137, 1.2704]
111.0 [1.0194, 1.2778]
112.0 [1.0254999999999999, 1.2853]
113.0 [1.0313999999999999, 1.2928]
114.0 [1.0371, 1.3003]
115.0 [1.0427, 1.3078]
116.0 [1.0483, 1.3152]
117.0 [1.0541, 1.3229]
118.0 [1.06, 1.3304]
119.0 [1.0657, 1.3379]
120.0 [1.0713, 1.3455]
121.0 [1.0772, 1.3531]
122.0 [1.0831, 1.3609]
123.0 [1.0889, 1.3684]
124.0 [1.0948, 1.3759]
125.0 [1.1006, 1.3835]
