25.0 [0.6292, 0.6294]
26.0 [0.6334000000000001, 0.6335]
27.0 [0.6377, 0.6376999999999999]
28.0 [0.642, 0.6421]
29.0 [0.6463, 0.6464]
30.0 [0.6507000000000001, 0.6507999999999999]
31.0 [0.6602, 0.6605000000000001]
32.0 [0.6646, 0.6649]
33.0 [0.6695, 0.6699]
34.0 [0.6740999999999999, 0.6745]
35.0 [0.6787, 0.679]
36.0 [0.6831999999999999, 0.6837]
37.0 [0.6876, 0.6881]
38.0 [0.6922999999999999, 0.6928]
39.0 [0.6970000000000001, 0.6974]
40.0 [0.7016, 0.7019]
41.0 [0.7062999999999999, 0.7067]
42.0 [0.7108000000000001, 0.7114]
43.0 [0.7156, 0.7161]
44.0 [0.7203, 0.7208]
45.0 [0.7250000000000001, 0.7255]
46.0 [0.7296, 0.7303]
47.0 [0.7344, 0.7348]
48.0 [0.7391, 0.7397]
49.0 [0.7439, 0.7444999999999999]
50.0 [0.7488, 0.7494]
51.0 [0.7537, 0.7543]
52.0 [0.7586, 0.7591]
53.0 [0.7635000000000001, 0.764]
54.0 [0.7685000000000001, 0.769]
55.0 [0.7734, 0.7739]
56.0 [0.7785000000000001, 0.779]
57.0 [0.7835000000000001, 0.784]
58.0 [0.7937000000000001, 0.7942]
59.0 [0.7987000000000001, 0.7993]
60.0 [0.8039000000000001, 0.8043]
61.0 [0.8096, 0.8099999999999999]
62.0 [0.8148, 0.8151999999999999]
63.0 [0.8199, 0.8203]
64.0 [0.8252999999999999, 0.8256]
65.0 [0.8304, 0.8310000000000001]
66.0 [0.8354999999999999, 0.8363]
67.0 [0.8407, 0.8416]
68.0 [0.8461000000000001, 0.8471000000000001]
69.0 [0.8514, 0.8526]
70.0 [0.8567, 0.8581]
71.0 [0.8620000000000001, 0.8636]
72.0 [0.8674000000000001, 0.8688]
73.0 [0.873, 0.8744000000000001]
74.0 [0.8783000000000001, 0.8799]
75.0 [0.8837, 0.8855000000000001]
76.0 [0.8892, 0.8911]
77.0 [0.8946000000000001, 0.8967]
78.0 [0.9, 0.9022]
79.0 [0.9056000000000001, 0.9078]
80.0 [0.9112, 0.9133]
81.0 [0.9168000000000001, 0.919]
82.0 [0.9224, 0.9247]
83.0 [0.9328000000000001, 0.9355]
84.0 [0.9383, 0.9410999999999999]
85.0 [0.9437000000000001, 0.9464]
86.0 [0.9494, 0.9523]
87.0 [0.9549000000000001, 0.958]
88.0 [0.9616, 0.9643]
89.0 [0.9672000000000001, 0.9698000000000001]
90.0 [0.9730000000000001, 0.9757]
91.0 [0.9787, 0.9816]
92.0 [0.9845, 0.9875]
93.0 [0.9903000000000001, 0.9934000000000001]
94.0 [0.9961, 0.9994000000000001]
95.0 [1.002, 1.0054]
96.0 [1.0079, 1.0112999999999999]
97.0 [1.0138, 1.0172999999999999]
98.0 [1.0196, 1.0231]
99.0 [1.0255, 1.029]
100.0 [1.0314999999999999, 1.0351]
101.0 [1.0375999999999999, 1.0411]
102.0 [1.0433999999999999, 1.0471]
103.0 [1.0494, 1.053]
104.0 [1.0555, 1.0591]
105.0 [1.0615, 1.0651]
106.0 [1.0725, 1.0763]
107.0 [1.0787, 1.0826]
108.0 [1.0847, 1.0886]
109.0 [1.0909, 1.0947]
110.0 [1.097, 1.1008]
111.0 [1.1031, 1.1069]
112.0 [1.1101, 1.1136]
113.0 [1.1162, 1.1199]
114.0 [1.1225, 1.1262999999999999]
115.0 [1.1286, 1.1323999999999999]
116.0 [1.1347, 1.1385999999999998]
117.0 [1.1409, 1.1449]
118.0 [1.1471, 1.151]
119.0 [1.1533, 1.1571]
120.0 [1.1595, 1.1634]
121.0 [1.1658, 1.1697]
122.0 [1.1721, 1.176]
123.0 [1.1784, 1.1824]
124.0 [1.1846, 1.1885999999999999]
125.0 [1.191, 1.1947999999999999]
